Family,Unit #,Region,Route #,Route Name,Flyer Ct.,Route Description
,,CENTER,1-1,WASHINGTON ST.,200,WASHINGTON ST. (from COURT ST. to MORTON HOSP.) - All // N. PLEASANT ST. - All // PARK ST. - All // W. ADAMS ST - All //  FAITH ST. – All //  GROVE ST - All // HOPE ST. - All // ADAMS ST. (from N. PLEASANT to GROVE STS.) - All 
,,CENTER,1-2,WASHINGTON ST.,185,WASHINGTON ST. (from ST. MARY’S Sq. to PURCHASE ST.) - All // PURCHASE ST. (from WASHINGTON to SCHOOL STS.) - All // SCHOOL ST. (from PURCHASE to BENEFIT STS.) - All // BENEFIT ST. - All // DINLEY AVE. - All // COOPER Sq. - All // WASHBURN ST. (from WASHINGTON to SCHOOL STS.) - All // GRANT ST. (from WASHINGTON to SCHOOL STS.) - All 
,,CENTER,1-3,WASHINGTON ST.,70,WASHINGTON ST. (from JEFFERSON ST. to BROADWAY) - All // THRASHER ST. - All // THRASHER AVE. – All // THRASHER PL. - All // MILTON ST. - All // BAIROS LN. - All // MALCOLM CIR. - All 
,,CENTER,1-4,WILLIAMS ST.,40,HARRIS ST. - All // BAYLIES RD. - All // DUFFY DR. – All // PHYLLIS RD. – All // BARBARA RD. – All // ELLEN RD. – All // HOMESTEAD CROSSING – All // POWER ST. – All 
,,CENTER,1-5,WILLIAMS ST.,170,WILLIAMS ST. (from DUFFY DR. to SIR RICHARD RD.) – EVEN #s
,,CENTER,1-6,WILLIAMS ST.,200,WILLIAMS ST. (from DONNA TERR. to POOLE ST.) – ODD #s // DONNA TERR. – All // MARILYN DR. – All // MARY DR. – All // STEVE DR. – All // ASHLEIGH TERR. – All // MANKEN Rd. - All // BRYAN ST. – All // CAVALIER AVE. – All // GENTRY LANE – All // PINE TREE LN. – All // DEER TRACK DR. – All // CROSSOVER LANE – All // RIDGEWOOD DR. – All 
,,CENTER,1-7,KING JAMES ESTATES,125,SIR RICHARD DR. – All // KING JAMES BLVD. – All // PRINCESS KATE CIR. – All // QUEEN ELIZABETH LN. – All // CASTLE CT. – All // SQUIRE LANE – All // SIR CHARLES LN. – All // SIR JOSEPH CT. – All // ROUND TABLE LN. – All // WILLIAMS ST. (from SIR RICHARD DR. to POOLE ST.) – EVEN #s
,,CENTER,1-8,WINTER ST.,220,WINTER ST. (from WASHINGTON ST. to SCHOOL ST.) – All // CHERRY ST. – All // CHERRY AVE. – All // WILBUR ST. – All // FLORAL ST. – All 
,,CENTER,1-9,WALES ST.,130,WALES ST. – All // OAK ST. (from OLNEY to WALES STS.) – EVEN #s // REED ST. – All // VERNON ST. – All 
,,CENTER,1-10,SUMMER ST.,130,SUMMER ST. (from SPRING to INGELL STS.) – All // W. SUMMER ST. – All // PROSPECT ST. – All // PROSPECT PL. – All // DEAN ST. (from PROSPECT ST. to CHURCH GREEN) – ODD #s
,,CENTER,1-11,SCHOOL ST.,100,SCHOOL ST. (from LEONARD to GRANT STS.) – All // LEONARD ST. – All // PRESBREY AVE. – All // DEAN AVE. – All // RANDELL ST. – All 
,,CENTER,1-12,SCHOOL ST.,125,SCHOOL ST. (from GRANT to PURCHASE STS.) – All // MONICA ST. – All // E. BROADWAY – All // CEDAR ST. (from WASHBURN to GRANT STS.) – All // WASHBURN ST. (from SCHOOL to CEDAR STS.) – All // GRANT ST. (from SCHOOL to CEDAR STS.) – All 
,,CENTER,1-13,SCHOOL ST.,130,SCHOOL ST. (from PURCHASE to THRASHER STS.) – All // BLINNS CT. – All // LANES AVE. – All // OAKLAWN AVE. – All // WHITSBOROUGH ST. – All // FREITAS ST. – All 
,,CENTER,1-14,ORCHARD ST.,160,ORCHARD ST. – All // WHITE ST. (from SOMERSET AVE to DEAD END) – All // HARRISON AVE. (from ORCHARD to BARNUM STS.) – All // CLINTON ST. (from BARNUM to ORCHARD STS.) – All // SOMERSET AVE. (from WEIR ST. to BAYLIES’ PARK) – ODD #s
,,CENTER,1-15,HODGES AVE.,160,HODGES AVE. – All // COLUMBUS AVE. – All // GRANITE ST. (from HODGES AVE. to TREMONT ST.) – All // CHANDLER AVE. – All // MORTON ST. – All // DANA ST. – All // WHITE AVE. – All // TREMONT ST. (from COLUMBUS AVE. to GRANITE ST.) – ODD #s
,,CENTER,1-16,HIGH ST.,120,HIGH ST. (from COHANNET to WEIR STS.) – All // HILL ST. – All // WEIR ST. (from HIGH to HARRISON STS.) – All // HARRISON ST. – All // BOW ST. – All // NEWCOMB PL. – All 
,,CENTER,1-17,HIGH ST.,125,HIGH ST. (from WEIR to CUSHMAN STS.) – All // RIVER SIDE AVE. – All // BRYANT ST. – All // CUSHMAN ST. – All // SUMNER ST. – All // MCSOLEY AVE. (NEAR RR TRACKS ON WEIR ST.) – All 
